Unnamed: 0,question,querry
,Display employees from the HR department earning less than 20000.,SELECT * FROM employees WHERE department = 'HR' AND salary < 20000;
,Count how many workers over 25 are in the IT department.,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age > 25;
,Show the department with the highest average salary.,SELECT department FROM employees GROUP BY department ORDER BY AVG(salary) DESC LIMIT 1;
,Calculate the total salary of those working in Marketing.,SELECT SUM(salary) FROM employees WHERE department = 'Marketing';
,,
,List all employees with a salary greater than 15000.,SELECT * FROM employees WHERE salary > 15000;
,Show employees who are at least 30 years old.,SELECT * FROM employees WHERE age >= 30;
,Which employees are working in the Marketing department with a salary greater than 25000?,SELECT * FROM employees WHERE department = 'Marketing' AND salary > 25000;
,How many employees work in the HR department?,SELECT COUNT(*) FROM employees WHERE department = 'HR';
,Show the names of employees who are under 25 years old.,SELECT name FROM employees WHERE age < 25;
,Which department has the highest total salary?,SELECT department FROM employees GROUP BY department ORDER BY SUM(salary) DESC LIMIT 1;
,Find employees whose salary is exactly 22000.,SELECT * FROM employees WHERE salary = 22000;
,List the names and ages of employees older than 25.,"SELECT name, age FROM employees WHERE age > 25;"
,Who is the oldest employee?,SELECT * FROM employees ORDER BY age DESC LIMIT 1;
,List employees who work in the IT department and earn more than 25000.,SELECT * FROM employees WHERE department = 'IT' AND salary > 25000;
,Show employees who earn more than 20000 and are in the Finance department.,SELECT * FROM employees WHERE department = 'Finance' AND salary > 20000;
,Which employees have a salary below 15000?,SELECT * FROM employees WHERE salary < 15000;
,Find employees in the IT department who earn more than 25000.,SELECT * FROM employees WHERE department = 'IT' AND salary > 25000;
,List all employees whose age is between 25 and 30.,SELECT * FROM employees WHERE age BETWEEN 25 AND 30;
,What is the average salary in the Marketing department?,SELECT AVG(salary) FROM employees WHERE department = 'Marketing';
,Find the employee with the highest age.,SELECT * FROM employees ORDER BY age DESC LIMIT 1;
,Show employees whose name starts with 'A'.,SELECT * FROM employees WHERE name LIKE 'A%';
,Find employees in the HR department who earn less than 25000.,SELECT * FROM employees WHERE department = 'HR' AND salary < 25000;
,List employees who earn between 18000 and 30000.,SELECT * FROM employees WHERE salary BETWEEN 18000 AND 30000;
,Which employees have a salary higher than the average salary?,SELECT * FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);
,Show all employees' names and salaries.,"SELECT name, salary FROM employees;"
,List all employees who work in the Finance or Marketing departments.,"SELECT * FROM employees WHERE department IN ('Finance', 'Marketing');"
,Show the average age of employees in the IT department.,SELECT AVG(age) FROM employees WHERE department = 'IT';
,How many employees are there in the Marketing department?,SELECT COUNT(*) FROM employees WHERE department = 'Marketing';
,List the employees in the HR department who are above 30.,SELECT * FROM employees WHERE department = 'HR' AND age > 30;
,Find employees with the highest salary in the company.,SELECT * FROM employees ORDER BY salary DESC LIMIT 1;
,Show employees who earn between 20000 and 30000.,SELECT * FROM employees WHERE salary BETWEEN 20000 AND 30000;
,Display the names of employees who have a salary under 20000.,SELECT name FROM employees WHERE salary < 20000;
,Find employees whose age is greater than 40.,SELECT * FROM employees WHERE age > 40;
,Show employees who have a salary between 15000 and 30000.,SELECT * FROM employees WHERE salary BETWEEN 15000 AND 30000;
,How many employees work in the Finance and Marketing departments?,"SELECT COUNT(*) FROM employees WHERE department IN ('Finance', 'Marketing');"
,Show employees working in departments other than IT and HR.,"SELECT * FROM employees WHERE department NOT IN ('IT', 'HR');"
,List employees whose salary is between 25000 and 35000.,SELECT * FROM employees WHERE salary BETWEEN 25000 AND 35000;
,What is the minimum salary of employees in the IT department?,SELECT MIN(salary) FROM employees WHERE department = 'IT';
,Find employees in the Finance department with a salary above 22000.,SELECT * FROM employees WHERE department = 'Finance' AND salary > 22000;
,List all employees working in the Marketing department.,SELECT * FROM employees WHERE department = 'Marketing';
,Show employees who are older than 30 and earn less than 20000.,SELECT * FROM employees WHERE age > 30 AND salary < 20000;
,Find employees whose name ends with 'a'.,SELECT * FROM employees WHERE name LIKE '%a';
,Display the employees in the HR department with a salary greater than 18000.,SELECT * FROM employees WHERE department = 'HR' AND salary > 18000;
,Show the average salary of employees working in the IT department.,SELECT AVG(salary) FROM employees WHERE department = 'IT';
,List employees who earn between 10000 and 20000.,SELECT * FROM employees WHERE salary BETWEEN 10000 AND 20000;
,How many employees are there in the IT department with salaries above 20000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary > 20000;
,List all employees who work in the Marketing or HR departments.,"SELECT * FROM employees WHERE department IN ('Marketing', 'HR');"
,Display employees who have a salary greater than the average salary of HR department.,SELECT * FROM employees WHERE salary > (SELECT AVG(salary) FROM employees WHERE department = 'HR');
,Find the employees who are not in the HR department.,SELECT * FROM employees WHERE department != 'HR';
,Show the departments and their corresponding average salary.,"SELECT department, AVG(salary) FROM employees GROUP BY department;"
,Count the number of employees who earn less than 15000.,SELECT COUNT(*) FROM employees WHERE salary < 15000;
,List employees who have been with the company for more than 5 years.,"SELECT * FROM employees WHERE DATEDIFF(CURDATE(), hire_date) > 1825;"
,Find employees whose department is HR or Marketing and are under 30 years old.,"SELECT * FROM employees WHERE department IN ('HR', 'Marketing') AND age < 30;"
,List employees who have a salary greater than 27000 but less than 35000.,SELECT * FROM employees WHERE salary BETWEEN 27000 AND 35000;
,Show the department with the lowest average salary.,SELECT department FROM employees GROUP BY department ORDER BY AVG(salary) ASC LIMIT 1;
,Display the oldest employee in the company.,SELECT * FROM employees ORDER BY age DESC LIMIT 1;
,Find employees who are in the Marketing or Finance departments but earn less than 25000.,"SELECT * FROM employees WHERE department IN ('Marketing', 'Finance') AND salary < 25000;"
,Show employees who have been in the company for over 10 years.,"SELECT * FROM employees WHERE DATEDIFF(CURDATE(), hire_date) > 3650;"
,Display the employee with the second highest salary.,SELECT * FROM employees ORDER BY salary DESC LIMIT 1 OFFSET 1;
,List all employees whose salary is exactly 20000.,SELECT * FROM employees WHERE salary = 20000;
,Find employees who have been with the company for less than 2 years.,"SELECT * FROM employees WHERE DATEDIFF(CURDATE(), hire_date) < 730;"
,Count how many employees earn less than the average salary.,SELECT COUNT(*) FROM employees WHERE salary < (SELECT AVG(salary) FROM employees);
,Show employees who have worked for the company for exactly 5 years.,"SELECT * FROM employees WHERE DATEDIFF(CURDATE(), hire_date) = 1825;"
,Find all employees in the IT department who earn more than 28000,SELECT name FROM employees WHERE department = 'IT' AND salary > 28000;
,List all employees with a salary greater than 15000.,SELECT * FROM employees WHERE salary > 15000;
,Show employees who are at least 30 years old.,SELECT * FROM employees WHERE age >= 30;
,Which employees are working in the Marketing department with a salary greater than 25000?,SELECT * FROM employees WHERE department = 'Marketing' AND salary > 25000;
,Find employees working in the HR department with a salary less than 20000.,SELECT * FROM employees WHERE department = 'HR' AND salary < 20000;
,Show the names of employees who are older than 25.,SELECT name FROM employees WHERE age > 25;
,How many employees are there in the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT';
,List employees who earn more than 20000 but are under 30 years old.,SELECT * FROM employees WHERE salary > 20000 AND age < 30;
,Which employees are in the Finance department and earn a salary greater than 20000?,SELECT * FROM employees WHERE department = 'Finance' AND salary > 20000;
,Show employees who have a salary between 18000 and 25000.,SELECT * FROM employees WHERE salary BETWEEN 18000 AND 25000;
,List the names and salaries of employees in the IT department.,"SELECT name, salary FROM employees WHERE department = 'IT';"
,Show the employee with the highest salary.,SELECT * FROM employees ORDER BY salary DESC LIMIT 1;
,Find the employee(s) with the lowest salary.,SELECT * FROM employees ORDER BY salary ASC LIMIT 1;
,How many employees are there in the Finance department who are under 30 years old?,SELECT COUNT(*) FROM employees WHERE department = 'Finance' AND age < 30;
,Show the department and salary of employees who are older than 28.,"SELECT department, salary FROM employees WHERE age > 28;"
,List the employees who have a salary greater than the average salary of the company.,SELECT * FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);
,Find employees in the HR department whose salary is less than the average salary.,SELECT * FROM employees WHERE department = 'HR' AND salary < (SELECT AVG(salary) FROM employees);
,Show all employees whose salary is between 20000 and 30000.,SELECT * FROM employees WHERE salary BETWEEN 20000 AND 30000;
,Who is the youngest employee in the company?,SELECT * FROM employees ORDER BY age ASC LIMIT 1;
,Show employees who work in the Marketing department and earn more than 25000.,SELECT * FROM employees WHERE department = 'Marketing' AND salary > 25000;
,Find the employee(s) who are younger than 30 and have a salary less than 20000.,SELECT * FROM employees WHERE age < 30 AND salary < 20000;
,List all employees from the HR department.,SELECT * FROM employees WHERE department = 'HR';
,Show the names of employees who are older than 28.,SELECT name FROM employees WHERE age > 28;
,How many employees are in the IT department with a salary greater than 25000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary > 25000;
,Show the average salary of employees in the Finance department.,SELECT AVG(salary) FROM employees WHERE department = 'Finance';
,List all employees whose salary is less than 22000.,SELECT * FROM employees WHERE salary < 22000;
,Find employees who are older than 30 and have a salary greater than 20000.,SELECT * FROM employees WHERE age > 30 AND salary > 20000;
,Show the employees in the IT department who earn more than 25000.,SELECT * FROM employees WHERE department = 'IT' AND salary > 25000;
,Find the employee(s) with the highest salary in the HR department.,SELECT * FROM employees WHERE department = 'HR' ORDER BY salary DESC LIMIT 1;
,Show the department and average salary of each department.,"SELECT department, AVG(salary) FROM employees GROUP BY department;"
,How many employees have a salary below the average salary of the company?,SELECT COUNT(*) FROM employees WHERE salary < (SELECT AVG(salary) FROM employees);
,List the names and departments of employees who earn more than 22000.,"SELECT name, department FROM employees WHERE salary > 22000;"
,Find the employees who work in the Finance department and are above 30 years old.,SELECT * FROM employees WHERE department = 'Finance' AND age > 30;
,How many employees in the IT department are younger than 30?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age < 30;
,Find the total number of employees in the company.,SELECT COUNT(*) FROM employees;
,How many employees have a salary below the average salary of the company?,SELECT COUNT(*) FROM employees WHERE salary < (SELECT AVG(salary) FROM employees);
,List the names and departments of employees who earn more than 22000.,"SELECT name, department FROM employees WHERE salary > 22000;"
,How many employees are in the Marketing department?,SELECT COUNT(*) FROM employees WHERE department = 'Marketing';
,Find the employee with the highest salary in the IT department.,SELECT * FROM employees WHERE department = 'IT' ORDER BY salary DESC LIMIT 1;
,List the names of employees whose age is below 30.,SELECT name FROM employees WHERE age < 30;
,Which department has the highest average salary?,"SELECT department, AVG(salary) FROM employees GROUP BY department ORDER BY AVG(salary) DESC LIMIT 1;"
,How many employees are there in the Finance department with a salary greater than 20000?,SELECT COUNT(*) FROM employees WHERE department = 'Finance' AND salary > 20000;
,Find all employees who are older than 30 and earn more than 25000.,SELECT name FROM employees WHERE age > 30 AND salary > 25000;
,Which employees are earning less than 18000 and are younger than 30?,SELECT name FROM employees WHERE salary < 18000 AND age < 30;
,Show the names of employees in the HR department with a salary above 22000.,SELECT name FROM employees WHERE department = 'HR' AND salary > 22000;
,How many employees have a salary between 20000 and 25000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 20000 AND 25000;
,List the employees whose age is greater than 28 and salary is greater than 25000.,SELECT name FROM employees WHERE age > 28 AND salary > 25000;
,Show all employees who are older than 30.,SELECT name FROM employees WHERE age > 30;
,List the names of employees working in the IT department with a salary above 25000.,SELECT name FROM employees WHERE department = 'IT' AND salary > 25000;
,What is the average salary in the company?,SELECT AVG(salary) FROM employees;
,Show the employees with the lowest salary in the Marketing department.,SELECT * FROM employees WHERE department = 'Marketing' ORDER BY salary ASC LIMIT 1;
,Find the names of employees who work in Finance and earn more than 20000.,SELECT name FROM employees WHERE department = 'Finance' AND salary > 20000;
,How many employees are there in the HR department with a salary greater than 15000?,SELECT COUNT(*) FROM employees WHERE department = 'HR' AND salary > 15000;
,List the names and salaries of employees earning less than 20000.,"SELECT name, salary FROM employees WHERE salary < 20000;"
,Find the department with the most employees.,"SELECT department, COUNT(*) FROM employees GROUP BY department ORDER BY COUNT(*) DESC LIMIT 1;"
,Show the name and salary of the highest-paid employee,"SELECT name, salary FROM employees ORDER BY salary DESC LIMIT 1;"
,List all employees who are older than 25 but earn less than 25000.,SELECT name FROM employees WHERE age > 25 AND salary < 25000;
,Find the total salary paid to employees in the HR department.,SELECT SUM(salary) FROM employees WHERE department = 'HR';
,Which department has the lowest average salary?,"SELECT department, AVG(salary) FROM employees GROUP BY department ORDER BY AVG(salary) ASC LIMIT 1;"
,How many employees in the IT department earn more than 28000?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary > 28000;
,List employees who are under 30 and belong to the IT department.,SELECT name FROM employees WHERE age < 30 AND department = 'IT';
,Find employees whose name starts with 'D'.,SELECT name FROM employees WHERE name LIKE 'D%';
,Which employee has the highest salary in the company?,SELECT * FROM employees ORDER BY salary DESC LIMIT 1;
,What is the total salary paid to employees aged above 30?,SELECT SUM(salary) FROM employees WHERE age > 30;
,Find all employees in the HR department earning less than 18000.,SELECT name FROM employees WHERE department = 'HR' AND salary < 18000;
,List the names and salaries of employees in the Finance department.,"SELECT name, salary FROM employees WHERE department = 'Finance';"
,Find the average salary for employees in the Marketing department.,SELECT AVG(salary) FROM employees WHERE department = 'Marketing';
,How many employees are aged between 25 and 30?,SELECT COUNT(*) FROM employees WHERE age BETWEEN 25 AND 30;
,List the names of employees whose salary is greater than or equal to 25000.,SELECT name FROM employees WHERE salary >= 25000;
,Show the details of employees who are in the IT or HR department.,"SELECT * FROM employees WHERE department IN ('IT', 'HR');"
,What is the total number of employees in the company?,SELECT COUNT(*) FROM employees;
,Show all employees who are younger than 30 and belong to the HR department.,SELECT name FROM employees WHERE age < 30 AND department = 'HR';
,Find employees whose salary is exactly 25000.,SELECT * FROM employees WHERE salary = 25000;
,List the employees who are older than 28 and belong to the Finance department.,SELECT name FROM employees WHERE age > 28 AND department = 'Finance';
,How many employees have an age of 30 or more?,SELECT COUNT(*) FROM employees WHERE age >= 30;
,Find employees who are in the Finance department but earn less than 20000.,SELECT name FROM employees WHERE department = 'Finance' AND salary < 20000;
,Which department has the most employees under 30?,"SELECT department, COUNT(*) FROM employees WHERE age < 30 GROUP BY department ORDER BY COUNT(*) DESC LIMIT 1;"
,List the names and departments of employees who have the same salary.,"SELECT name, department FROM employees WHERE salary IN (SELECT salary FROM employees GROUP BY salary HAVING COUNT(*) > 1);"
,Find the employee with the second highest salary in the company.,SELECT * FROM employees WHERE salary < (SELECT MAX(salary) FROM employees) ORDER BY salary DESC LIMIT 1;
,Show the names of employees who are older than 25 and younger than 35.,SELECT name FROM employees WHERE age > 25 AND age < 35;
,List all employees in the Marketing department who are older than 25.,SELECT name FROM employees WHERE department = 'Marketing' AND age > 25;
,How many employees in the company have a salary between 18000 and 25000?,SELECT COUNT(*) FROM employees WHERE salary BETWEEN 18000 AND 25000;
,Show the names of employees who are older than 30 and earn less than 23000.,SELECT name FROM employees WHERE age > 30 AND salary < 23000;
,Find the average salary of employees who are younger than 30.,SELECT AVG(salary) FROM employees WHERE age < 30;
,Which department has the least average salary?,"SELECT department, AVG(salary) FROM employees GROUP BY department ORDER BY AVG(salary) ASC LIMIT 1;"
,List the names of employees who earn more than the average salary of the company.,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);
,How many employees work in departments with a salary greater than 20000?,SELECT COUNT(*) FROM employees WHERE salary > 20000;
,Find the employees whose name contains the letter 'A'.,SELECT name FROM employees WHERE name LIKE '%A%';
,Show all employees in the IT department who are older than 30.,SELECT name FROM employees WHERE department = 'IT' AND age > 30;
,Find all employees who are aged 28 or older,SELECT name FROM employees WHERE age >= 28;
,List all employees who are in the Finance department and earn more than 20000.,SELECT name FROM employees WHERE department = 'Finance' AND salary > 20000;
,Find employees who are younger than 30 but earn more than 28000.,SELECT name FROM employees WHERE age < 30 AND salary > 28000;
,Which employee is the youngest in the company?,SELECT * FROM employees ORDER BY age ASC LIMIT 1;
,What is the average salary for employees in the HR department?,SELECT AVG(salary) FROM employees WHERE department = 'HR';
,How many employees are in the Marketing department with a salary above 25000?,SELECT COUNT(*) FROM employees WHERE department = 'Marketing' AND salary > 25000;
,Show the names of employees who have a salary greater than or equal to 30000.,SELECT name FROM employees WHERE salary >= 30000;
,Which department has the highest average salary?,"SELECT department, AVG(salary) FROM employees GROUP BY department ORDER BY AVG(salary) DESC LIMIT 1;"
,How many employees in the IT department are aged between 25 and 30?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age BETWEEN 25 AND 30;
,Find employees whose age is either 28 or 29.,"SELECT name FROM employees WHERE age IN (28, 29);"
,Show the names and salaries of employees in the HR or Marketing department.,"SELECT name, salary FROM employees WHERE department IN ('HR', 'Marketing');"
,How many employees in the company are older than 35?,SELECT COUNT(*) FROM employees WHERE age > 35;
,List the names of employees who are in the HR department or earn more than 25000.,SELECT name FROM employees WHERE department = 'HR' OR salary > 25000;
,Find the total number of employees in the Finance department.,SELECT COUNT(*) FROM employees WHERE department = 'Finance';
,Which employee has the lowest salary in the company?,SELECT * FROM employees ORDER BY salary ASC LIMIT 1;
,List employees who are older than 30 and earn between 20000 and 25000.,SELECT name FROM employees WHERE age > 30 AND salary BETWEEN 20000 AND 25000;
,How many employees in the IT department earn more than the average salary of the department?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND salary > (SELECT AVG(salary) FROM employees WHERE department = 'IT');
,Find employees in the Marketing department whose age is less than 30.,SELECT name FROM employees WHERE department = 'Marketing' AND age < 30;
,"List the employees who earn the same salary as ""parimala"".",SELECT name FROM employees WHERE salary = (SELECT salary FROM employees WHERE name = 'parimala');
,How many employees are older than 25 and belong to the IT department?,SELECT COUNT(*) FROM employees WHERE department = 'IT' AND age > 25;
,Find the employee with the highest salary in the HR department.,SELECT * FROM employees WHERE department = 'HR' ORDER BY salary DESC LIMIT 1;
,List employees whose name starts with 'A' and salary is greater than 20000.,SELECT name FROM employees WHERE name LIKE 'A%' AND salary > 20000;
,,
,How many employees are there in the HR department?,SELECT COUNT(*) FROM employees WHERE department = 'HR';
,Find the employee(s) who earn the highest salary in the company.,SELECT * FROM employees ORDER BY salary DESC LIMIT 1;
,List the names of employees working in the IT department.,SELECT name FROM employees WHERE department = 'IT';
,Show the employees in the Marketing department who earn less than 25000.,SELECT name FROM employees WHERE department = 'Marketing' AND salary < 25000;
,Which employee has the highest salary in the Finance department?,SELECT * FROM employees WHERE department = 'Finance' ORDER BY salary DESC LIMIT 1;
,Find employees who are older than 28 but earn less than 25000.,SELECT name FROM employees WHERE age > 28 AND salary < 25000;
,List all employees whose name starts with the letter 'S'.,SELECT name FROM employees WHERE name LIKE 'S%';
,Show the total salary of all employees in the Marketing department.,SELECT SUM(salary) FROM employees WHERE department = 'Marketing';
,Find employees who are younger than 30 and earn more than 27000.,SELECT name FROM employees WHERE age < 30 AND salary > 27000;
,How many employees in the HR department are younger than 25?,SELECT COUNT(*) FROM employees WHERE department = 'HR' AND age < 25;
,Show employees whose salary is higher than the average salary.,SELECT name FROM employees WHERE salary > (SELECT AVG(salary) FROM employees);
,List all employees in the IT department who are older than 30.,SELECT name FROM employees WHERE department = 'IT' AND age > 30;
,Find the average salary in the Finance department.,SELECT AVG(salary) FROM employees WHERE department = 'Finance';
,How many employees are in the Marketing department earning more than 26000?,SELECT COUNT(*) FROM employees WHERE department = 'Marketing' AND salary > 26000;
,List employees from the HR department who have a salary between 15000 and 25000.,SELECT name FROM employees WHERE department = 'HR' AND salary BETWEEN 15000 AND 25000;
,Show the names of employees whose salary is less than 20000.,SELECT name FROM employees WHERE salary < 20000;
,Find all employees aged between 25 and 30 who are in the IT department.,SELECT name FROM employees WHERE department = 'IT' AND age BETWEEN 25 AND 30;
,Show the names of all employees whose department is Finance.,SELECT name FROM employees WHERE department = 'Finance';
,Find employees who are older than 30 but earn less than 22000.,SELECT name FROM employees WHERE age > 30 AND salary < 22000;
,How many employees are there in departments with a salary greater than 20000?,SELECT COUNT(*) FROM employees WHERE salary > 20000;
,Find the employees whose name contains the letter 'A'.,SELECT name FROM employees WHERE name LIKE '%A%';
,Show all employees in the IT department who are older than 30.,SELECT name FROM employees WHERE department = 'IT' AND age > 30;
,What is the total number of employees in the company?,SELECT COUNT(*) FROM employees;
,Find employees who earn between 22000 and 28000.,SELECT name FROM employees WHERE salary BETWEEN 22000 AND 28000;
,Show the names and salaries of employees who earn less than the average salary.,"SELECT name, salary FROM employees WHERE salary < (SELECT AVG(salary) FROM employees);"
,List employees who are in the Marketing department or earn more than 25000.,SELECT name FROM employees WHERE department = 'Marketing' OR salary > 25000;
